Name,Branch,Field of Interest,Domain of Interest,Languages Known,Frameworks Used,Tools Experience,Technologies to Learn,Project Duration,Open-Source Contribution,Achievements
Jason Schroeder,Civil Engineering,"['generative AI', 'ethical hacking']","['data science and analytics', 'quantum computing']","['SQL', 'Objective-C']","['Express.js', 'Blitz.js']","['Jenkins', 'GitHub', 'Keras']","['PyTorch', 'Jenkins', 'Git', 'GitHub']",1 month,No open-source contribution,No achievements
Anthony Perry,Electrical Engineering,['data engineering'],['game development'],['Lua'],"['Flask', 'Ruby on Rails']","['PyTorch', 'Kubernetes', 'Ansible', 'Elasticsearch']","['Redis', 'Google Cloud']",1 month,No open-source contribution,No achievements
Daniel Kaiser,Civil Engineering,"['machine learning', 'web app development', 'network engineering']",['artificial intelligence and machine learning'],"['SQL', 'R', 'Scala', 'PHP']",['React Native'],"['Google Cloud', 'TensorFlow']","['Keras', 'Ansible', 'AWS', 'Redis']",2 months,Contributed to XYZ project,Awarded XYZ in Civil Engineering
Abigail Lee,Biotechnology,"['system architecture', 'software engineering', 'ethical hacking']","['bioinformatics', 'IoT']","['Rust', 'Scala', 'Lua', 'C#', 'TypeScript']","['Ember.js', 'Nuxt.js', 'Django', 'Blitz.js']","['Elasticsearch', 'Ansible', 'MongoDB']",['PostgreSQL'],2 months,Contributed to XYZ project,No achievements
Michelle Diaz,Biotechnology,['data science'],"['cybersecurity', 'web and mobile development', 'IoT']",['Kotlin'],"['Nuxt.js', 'React Native']","['Ansible', 'Azure']","['Azure', 'Elasticsearch', 'PyTorch', 'Kubernetes']",1 week,Contributed to XYZ project,No achievements
Adam Scott,Electronics and Communication,['cryptography'],"['cybersecurity', 'blockchain', 'human-computer interaction']","['Shell Scripting', 'C++', 'JavaScript']","['Nuxt.js', 'Flask', 'Vue.js', 'Flutter']",['Kubernetes'],['Keras'],1 month,Contributed to XYZ project,No achievements
Amy Jackson,Biotechnology,['blockchain'],"['game development', 'artificial intelligence and machine learning', 'robotics']","['Go', 'Swift']","['Ember.js', 'NestJS']","['PostgreSQL', 'TensorFlow']","['Docker', 'Git', 'MongoDB']",1 week,No open-source contribution,No achievements
John Nguyen,Mechanical Engineering,['business intelligence'],"['human-computer interaction', 'artificial intelligence and machine learning']","['Java', 'Kotlin']","['Vue.js', 'Flask', 'Laravel']","['TensorFlow', 'GitLab', 'Keras', 'Azure']","['Jenkins', 'PyTorch']",1 month,Contributed to XYZ project,Awarded XYZ in Mechanical Engineering
Dorothy Garcia,Information Technology,"['cloud security', 'digital signal processing']","['cybersecurity', 'bioinformatics']",['Lua'],"['Laravel', 'Svelte', 'Ember.js', 'Blitz.js']","['Docker', 'PyTorch', 'Keras', 'MongoDB']","['Azure', 'TensorFlow', 'Docker']",2 months,No open-source contribution,No achievements
Patrick Sanders,Computer Science,"['computational biology', 'generative AI']","['bioinformatics', 'quantum computing', 'cybersecurity']","['Lua', 'Go', 'PHP', 'Dart']",['Django'],"['Redis', 'PostgreSQL', 'GitHub']","['MongoDB', 'Keras']",1 month,Contributed to XYZ project,Awarded XYZ in Computer Science
Bobby Mcdowell,Civil Engineering,"['artificial intelligence', 'algorithms']","['bioinformatics', 'cybersecurity', 'quantum computing']","['TypeScript', 'Shell Scripting', 'C++']","['NestJS', 'Blitz.js']","['TensorFlow', 'Keras']","['PyTorch', 'Kubernetes', 'Docker']",1 week,No open-source contribution,Awarded XYZ in Civil Engineering
Joshua Allen,Biotechnology,['computer vision'],"['blockchain', 'artificial intelligence and machine learning', 'bioinformatics']","['Shell Scripting', 'C++', 'Swift']","['Spring Boot', 'NestJS', 'Blitz.js']",['Ansible'],['GitHub'],1 month,Contributed to XYZ project,Awarded XYZ in Biotechnology
Donna Smith,Electrical Engineering,"['blockchain', 'computer vision', 'edge computing']","['cybersecurity', 'bioinformatics']","['PHP', 'Python']",['Spring Boot'],"['MySQL', 'Git', 'TensorFlow', 'PostgreSQL']","['Docker', 'AWS']",1 month,Contributed to XYZ project,No achievements
Jessica Malone,Computer Science,['network engineering'],"['web and mobile development', 'quantum computing']","['C', 'Go', 'Python', 'Lua', 'JavaScript']","['Spring Boot', 'Django', 'Meteor', 'Express.js']",['Git'],"['MySQL', 'Azure', 'PostgreSQL', 'Google Cloud']",1 month,No open-source contribution,No achievements
Madison Marquez,Biotechnology,"['AR/VR', 'deep learning', 'game development']","['bioinformatics', 'human-computer interaction']",['R'],"['Ionic', 'NestJS', 'Angular', 'Django']",['GitLab'],"['PyTorch', 'PostgreSQL', 'Redis', 'Ansible']",1 month,Contributed to XYZ project,No achievements
Jacob Smith,Computer Science,"['bioinformatics', 'computer architecture', 'business intelligence']","['robotics', 'data science and analytics', 'web and mobile development']","['Dart', 'Rust', 'PHP', 'JavaScript']","['Blitz.js', 'Ionic', 'Meteor', 'Django']","['Elasticsearch', 'Azure']","['MySQL', 'MongoDB', 'PyTorch']",1 month,Contributed to XYZ project,Awarded XYZ in Computer Science
Martha Paul,Electronics and Communication,['ethical hacking'],"['robotics', 'cybersecurity']","['Go', 'Scala', 'Java', 'TypeScript']","['Django', 'Nuxt.js', 'React', 'Blitz.js']","['Azure', 'AWS', 'Redis']",['GitLab'],2 months,Contributed to XYZ project,No achievements
Kyle Daniel,Biotechnology,['ethical hacking'],"['human-computer interaction', 'game development']","['Kotlin', 'Swift', 'Scala']",['Meteor'],"['MySQL', 'PostgreSQL', 'GitLab', 'Jenkins']",['Azure'],1 week,No open-source contribution,No achievements
Ryan Scott,Information Technology,"['software engineering', 'digital signal processing', 'natural language processing']","['blockchain', 'robotics']","['Java', 'Ruby']","['Nuxt.js', 'React Native']","['GitHub', 'GitLab', 'Azure']","['AWS', 'Ansible', 'PostgreSQL', 'Keras']",1 month,No open-source contribution,No achievements
Eduardo Mitchell,Civil Engineering,"['mobile app development', 'digital signal processing', 'business intelligence']","['bioinformatics', 'game development', 'web and mobile development']",['Swift'],"['React Native', 'Meteor', 'Ionic', 'Express.js']",['Azure'],"['AWS', 'Ansible']",1 month,No open-source contribution,No achievements
Danielle Allen,Information Technology,"['business intelligence', 'human-computer interaction', 'digital signal processing']","['IoT', 'data science and analytics', 'bioinformatics']","['TypeScript', 'C', 'C++', 'Java']",['Express.js'],['Git'],['Google Cloud'],1 week,Contributed to XYZ project,No achievements
Christopher Huffman,Computer Science,"['ethical hacking', 'business intelligence', 'parallel computing']","['human-computer interaction', 'bioinformatics']",['Python'],"['Django', 'Laravel', 'Ionic']","['TensorFlow', 'PyTorch', 'GitHub', 'Google Cloud']","['AWS', 'PyTorch']",1 week,No open-source contribution,No achievements
Anne Lopez,Electrical Engineering,['ethical hacking'],"['human-computer interaction', 'robotics', 'data science and analytics']","['Swift', 'Python', 'Rust', 'Scala', 'C#']",['Next.js'],['Elasticsearch'],['Ansible'],2 months,Contributed to XYZ project,No achievements
Kristin Hansen,Information Technology,"['parallel computing', 'computer vision']","['cybersecurity', 'IoT']",['Python'],"['Blitz.js', 'Ruby on Rails']",['GitLab'],"['Redis', 'Azure', 'Git']",1 week,Contributed to XYZ project,No achievements
Sharon Adkins,Computer Science,"['computational biology', 'autonomous systems', 'computer architecture']",['human-computer interaction'],"['C++', 'C']","['Django', 'Vue.js']","['Docker', 'TensorFlow']","['Jenkins', 'MySQL']",1 month,No open-source contribution,No achievements
William Johnson,Computer Science,"['embedded systems', 'big data']","['blockchain', 'web and mobile development']","['Objective-C', 'JavaScript', 'Java']","['Express.js', 'Django', 'Meteor']","['TensorFlow', 'Elasticsearch', 'MongoDB']",['AWS'],2 months,Contributed to XYZ project,No achievements
Mary Fletcher,Electronics and Communication,['computer vision'],['IoT'],"['R', 'C', 'Shell Scripting', 'Rust']","['React', 'Svelte', 'Flutter', 'Blitz.js']","['AWS', 'PostgreSQL']","['AWS', 'Ansible', 'TensorFlow']",2 months,Contributed to XYZ project,No achievements
Christopher Young,Information Technology,"['big data', 'network engineering']","['artificial intelligence and machine learning', 'web and mobile development']","['PHP', 'Go', 'MATLAB', 'Shell Scripting', 'R']","['Nuxt.js', 'Blitz.js']","['GitLab', 'AWS']","['Redis', 'GitLab']",1 month,No open-source contribution,No achievements
Robert Best,Computer Science,['web app development'],['game development'],['Go'],"['Ionic', 'Blitz.js', 'Meteor']",['GitHub'],['TensorFlow'],1 week,Contributed to XYZ project,No achievements
Stephen Hubbard,Mechanical Engineering,"['game development', 'autonomous systems', 'computational theory']","['blockchain', 'quantum computing', 'human-computer interaction']","['TypeScript', 'C', 'MATLAB', 'Shell Scripting', 'Swift']","['Svelte', 'Ionic']","['Ansible', 'PostgreSQL', 'Redis', 'AWS']",['MySQL'],2 months,Contributed to XYZ project,No achievements
Laura Shah,Computer Science,['natural language processing'],['robotics'],"['TypeScript', 'Rust', 'Java', 'Lua']","['Flask', 'Laravel', 'Spring Boot', 'Nuxt.js']","['Git', 'MySQL']","['TensorFlow', 'Keras', 'Elasticsearch', 'GitHub']",2 months,No open-source contribution,No achievements
Lisa Thomas,Electronics and Communication,"['robotics', 'digital signal processing', 'generative AI']","['human-computer interaction', 'robotics']","['Objective-C', 'Scala']","['Vue.js', 'Meteor']","['MySQL', 'Git', 'Azure', 'AWS']",['Elasticsearch'],1 month,Contributed to XYZ project,No achievements
Frank Williams,Electrical Engineering,['mobile app development'],['cybersecurity'],['Go'],"['Nuxt.js', 'Flutter', 'React Native']","['Ansible', 'MySQL']",['GitLab'],2 months,Contributed to XYZ project,No achievements
Jill Dunn,Electronics and Communication,"['edge computing', 'natural language processing', 'machine learning']","['IoT', 'blockchain']","['Kotlin', 'Shell Scripting', 'JavaScript', 'C']",['Flutter'],"['MySQL', 'TensorFlow', 'Git', 'Azure']","['MySQL', 'PostgreSQL']",1 month,No open-source contribution,No achievements
April Johnson,Biotechnology,['ethical hacking'],"['bioinformatics', 'IoT', 'robotics']","['SQL', 'C#']","['NestJS', 'Express.js', 'React Native']","['Git', 'Keras', 'Jenkins', 'Ansible']","['GitHub', 'Redis', 'Google Cloud', 'Keras']",1 month,No open-source contribution,No achievements
Alexander Petty,Civil Engineering,"['embedded systems', 'computer architecture']","['IoT', 'human-computer interaction']","['Shell Scripting', 'Kotlin']","['React Native', 'Laravel', 'Spring Boot', 'Next.js']",['Google Cloud'],['TensorFlow'],2 months,No open-source contribution,Awarded XYZ in Civil Engineering
Lynn Morris,Civil Engineering,['digital signal processing'],"['web and mobile development', 'IoT']","['Dart', 'Go', 'R', 'C#', 'Kotlin']",['React'],"['PostgreSQL', 'Redis', 'Ansible', 'GitLab']","['Azure', 'Keras', 'Redis', 'Elasticsearch']",1 week,No open-source contribution,No achievements
Heather Owens,Computer Science,['human-computer interaction'],"['game development', 'artificial intelligence and machine learning', 'quantum computing']",['TypeScript'],"['React', 'Django', 'NestJS', 'Angular']",['Jenkins'],"['GitHub', 'MongoDB']",1 week,Contributed to XYZ project,No achievements
Bruce Lamb,Information Technology,"['mobile app development', 'cryptography']","['quantum computing', 'data science and analytics']","['Kotlin', 'Rust', 'Dart', 'C++']","['Meteor', 'Angular']","['Redis', 'TensorFlow', 'GitHub']",['Keras'],1 month,No open-source contribution,No achievements
Amy Alvarez,Mechanical Engineering,['ethical hacking'],"['bioinformatics', 'data science and analytics']","['Scala', 'Python']","['Flutter', 'Laravel', 'Flask', 'Express.js']","['PostgreSQL', 'TensorFlow']","['Redis', 'MongoDB', 'Jenkins']",1 month,No open-source contribution,No achievements
Daniel Acosta,Biotechnology,['AR/VR'],['robotics'],"['C#', 'MATLAB']","['Ionic', 'NestJS']","['Elasticsearch', 'Git', 'Kubernetes', 'PyTorch']","['PyTorch', 'Azure', 'Docker', 'TensorFlow']",1 week,No open-source contribution,Awarded XYZ in Biotechnology
Maria Fisher,Civil Engineering,"['big data', 'cloud security', 'quantum computing']","['blockchain', 'artificial intelligence and machine learning']","['Kotlin', 'Lua', 'Python', 'Objective-C', 'Go']","['Blitz.js', 'Django']","['TensorFlow', 'Ansible', 'Elasticsearch', 'Azure']",['Elasticsearch'],1 week,Contributed to XYZ project,Awarded XYZ in Civil Engineering
Kellie Lopez,Biotechnology,['business intelligence'],"['artificial intelligence and machine learning', 'IoT']","['Kotlin', 'C']","['Nuxt.js', 'Express.js', 'Next.js', 'Svelte']",['Google Cloud'],"['AWS', 'GitHub', 'MySQL']",2 months,Contributed to XYZ project,No achievements
Alex Barnes,Civil Engineering,['ethical hacking'],['data science and analytics'],"['C++', 'MATLAB']","['Ionic', 'Ruby on Rails', 'Vue.js']","['Jenkins', 'Google Cloud', 'AWS']",['MongoDB'],1 month,No open-source contribution,No achievements
Dr. Glen Williams,Civil Engineering,"['edge computing', 'algorithms']",['blockchain'],"['PHP', 'C#']","['Svelte', 'Django', 'Spring Boot', 'Ember.js']","['Ansible', 'Elasticsearch', 'Redis', 'Keras']","['MongoDB', 'MySQL']",1 month,No open-source contribution,No achievements
Crystal Sellers,Computer Science,['cryptography'],['artificial intelligence and machine learning'],"['Go', 'Kotlin', 'Shell Scripting']","['Spring Boot', 'Next.js', 'Express.js']","['TensorFlow', 'Google Cloud', 'GitLab', 'Azure']","['PostgreSQL', 'Redis']",1 week,Contributed to XYZ project,No achievements
Mr. Ryan Brown,Civil Engineering,['cloud security'],"['blockchain', 'data science and analytics']","['SQL', 'Shell Scripting', 'Ruby', 'Python']","['React', 'React Native', 'Ember.js', 'Django']","['MongoDB', 'Ansible']","['MySQL', 'PostgreSQL']",2 months,No open-source contribution,Awarded XYZ in Civil Engineering
Willie Smith,Electrical Engineering,['DevOps'],"['human-computer interaction', 'web and mobile development']","['Ruby', 'SQL', 'Objective-C']","['Laravel', 'Django', 'Next.js', 'Ionic']","['Azure', 'TensorFlow']","['Ansible', 'Elasticsearch']",1 week,Contributed to XYZ project,No achievements
Joseph Ayala,Electrical Engineering,"['mobile app development', 'big data', 'bioinformatics']","['game development', 'blockchain']","['Swift', 'SQL']","['Angular', 'Meteor']","['Ansible', 'PyTorch']","['GitHub', 'MongoDB', 'Azure', 'Git']",1 week,No open-source contribution,No achievements
Denise Parsons,Electronics and Communication,"['quantum computing', 'machine learning', 'blockchain']",['cybersecurity'],"['Objective-C', 'Shell Scripting', 'Rust']","['Ionic', 'Ruby on Rails']","['Kubernetes', 'Ansible', 'Azure', 'Redis']","['Docker', 'Google Cloud', 'Elasticsearch']",1 week,Contributed to XYZ project,No achievements
Timothy Anderson,Computer Science,"['data visualization', 'AR/VR']","['data science and analytics', 'game development', 'bioinformatics']","['JavaScript', 'SQL', 'Go', 'PHP']","['Flutter', 'Laravel', 'Meteor']","['TensorFlow', 'MySQL']","['Git', 'Azure', 'AWS']",1 month,Contributed to XYZ project,No achievements
Shannon Tyler,Civil Engineering,"['robotics', 'natural language processing']","['game development', 'IoT']","['R', 'C']",['Flutter'],['Git'],['GitHub'],1 week,No open-source contribution,No achievements
Joseph Young,Biotechnology,"['edge computing', 'quantum computing']","['human-computer interaction', 'web and mobile development']","['Scala', 'C', 'Python', 'R']","['Laravel', 'Django', 'Ember.js']",['Azure'],['GitLab'],2 months,Contributed to XYZ project,No achievements
Tracy Brown,Electrical Engineering,['parallel computing'],"['robotics', 'IoT']","['Kotlin', 'Scala', 'PHP', 'Swift', 'Ruby']","['NestJS', 'Flutter', 'Laravel', 'Express.js']","['Docker', 'TensorFlow', 'MySQL']",['Azure'],1 month,No open-source contribution,No achievements
Stacy Carter,Computer Science,"['DevOps', 'edge computing', 'natural language processing']","['blockchain', 'cybersecurity']",['SQL'],"['Django', 'Nuxt.js', 'Spring Boot']","['Git', 'GitHub', 'MySQL']","['MySQL', 'GitLab', 'PyTorch', 'TensorFlow']",1 month,No open-source contribution,Awarded XYZ in Computer Science
Jeff Smith,Electrical Engineering,"['quantum computing', 'cryptography', 'data visualization']","['web and mobile development', 'IoT', 'human-computer interaction']",['Java'],['Next.js'],"['Keras', 'Jenkins', 'Elasticsearch']",['Ansible'],1 week,Contributed to XYZ project,No achievements
Amy Ramirez,Electrical Engineering,['reinforcement learning'],"['game development', 'quantum computing', 'bioinformatics']",['Objective-C'],"['Flutter', 'Express.js', 'Ember.js', 'Flask']",['Redis'],"['PyTorch', 'PostgreSQL', 'Git', 'Azure']",1 month,Contributed to XYZ project,No achievements
Kelly Warren,Biotechnology,"['machine learning', 'artificial intelligence', 'reinforcement learning']","['artificial intelligence and machine learning', 'bioinformatics']",['Scala'],['Blitz.js'],"['GitLab', 'GitHub', 'Git']","['Kubernetes', 'Ansible', 'Elasticsearch']",1 week,No open-source contribution,No achievements
Lori Bray,Civil Engineering,"['DevOps', 'edge computing']",['artificial intelligence and machine learning'],"['Go', 'C']","['Blitz.js', 'Ruby on Rails']","['Jenkins', 'Google Cloud', 'GitHub', 'TensorFlow']","['MongoDB', 'Keras', 'GitHub']",2 months,Contributed to XYZ project,No achievements
Patrick Esparza,Civil Engineering,['digital signal processing'],"['artificial intelligence and machine learning', 'blockchain']",['Kotlin'],['Ionic'],"['GitLab', 'MySQL', 'Ansible', 'Kubernetes']","['Google Cloud', 'Docker', 'Elasticsearch']",1 month,No open-source contribution,No achievements
Melissa Bush,Biotechnology,['cloud security'],"['blockchain', 'robotics']","['JavaScript', 'PHP', 'SQL', 'Objective-C']","['Nuxt.js', 'Flask', 'Ionic', 'Ruby on Rails']","['PostgreSQL', 'TensorFlow']","['MySQL', 'PyTorch', 'MongoDB']",1 month,No open-source contribution,No achievements
Melanie Jackson,Electrical Engineering,"['computational theory', 'robotics', 'big data']","['game development', 'quantum computing', 'IoT']","['Dart', 'Java', 'C#', 'Objective-C']","['Angular', 'Ember.js', 'Next.js']","['MongoDB', 'Docker', 'Jenkins']","['Jenkins', 'AWS', 'Ansible']",1 week,No open-source contribution,No achievements
Kyle Moore,Mechanical Engineering,"['system architecture', 'computational theory', 'edge computing']","['bioinformatics', 'quantum computing']",['Scala'],"['Spring Boot', 'Svelte', 'Django']","['AWS', 'Google Cloud', 'GitLab']",['PostgreSQL'],2 months,No open-source contribution,No achievements
Mark Wise,Electronics and Communication,"['data science', 'web app development']","['data science and analytics', 'web and mobile development', 'IoT']",['PHP'],['React'],"['Jenkins', 'AWS']","['PostgreSQL', 'PyTorch']",1 month,Contributed to XYZ project,No achievements
Alyssa Dean,Computer Science,"['mobile app development', 'web app development']","['cybersecurity', 'quantum computing']","['Dart', 'Swift', 'TypeScript', 'MATLAB', 'Shell Scripting']","['Django', 'Meteor']",['Elasticsearch'],['PyTorch'],1 week,No open-source contribution,No achievements
Mark Miller,Computer Science,"['algorithms', 'natural language processing']","['quantum computing', 'web and mobile development', 'artificial intelligence and machine learning']","['C', 'Scala', 'Python']","['Laravel', 'Meteor', 'Flask', 'Express.js']","['PyTorch', 'PostgreSQL', 'Ansible']",['GitLab'],1 month,No open-source contribution,No achievements
Nancy Green,Mechanical Engineering,"['web app development', 'IoT']",['data science and analytics'],['C'],"['Ember.js', 'Flutter', 'Flask']","['PyTorch', 'AWS', 'Docker']","['MongoDB', 'Azure', 'PyTorch']",1 month,Contributed to XYZ project,No achievements
Melissa Palmer,Electronics and Communication,"['IoT', 'software engineering']","['cybersecurity', 'bioinformatics', 'data science and analytics']","['JavaScript', 'Kotlin', 'Rust', 'MATLAB']","['Spring Boot', 'Django', 'Laravel']","['TensorFlow', 'GitLab', 'AWS']","['MongoDB', 'Docker', 'Ansible', 'GitHub']",2 months,No open-source contribution,No achievements
Denise Carter,Computer Science,['system architecture'],"['IoT', 'game development']","['Kotlin', 'Lua', 'Rust', 'Shell Scripting', 'SQL']","['Spring Boot', 'Laravel', 'Blitz.js', 'Svelte']","['Keras', 'GitHub']","['PostgreSQL', 'PyTorch', 'Elasticsearch']",1 week,No open-source contribution,Awarded XYZ in Computer Science
Todd Santana,Mechanical Engineering,"['generative AI', 'digital signal processing', 'network engineering']","['IoT', 'quantum computing', 'data science and analytics']","['Objective-C', 'Ruby']","['Nuxt.js', 'Meteor']","['Git', 'PyTorch']","['Jenkins', 'PyTorch']",2 months,Contributed to XYZ project,No achievements
Mario Cervantes,Biotechnology,"['game development', 'cloud security', 'AR/VR']","['web and mobile development', 'human-computer interaction', 'data science and analytics']",['JavaScript'],"['Ruby on Rails', 'Blitz.js', 'Vue.js', 'React']","['Ansible', 'Jenkins']","['GitLab', 'Docker']",1 month,No open-source contribution,No achievements
Joseph Bell,Electronics and Communication,"['software engineering', 'computer vision', 'reinforcement learning']","['blockchain', 'game development', 'robotics']",['R'],['Laravel'],"['MySQL', 'MongoDB']","['Azure', 'PostgreSQL', 'Git']",1 month,Contributed to XYZ project,No achievements
Julie Miller,Electronics and Communication,"['human-computer interaction', 'blockchain']","['human-computer interaction', 'bioinformatics']","['Go', 'TypeScript']",['Ember.js'],"['Kubernetes', 'PyTorch', 'Ansible']","['Kubernetes', 'Jenkins', 'GitLab']",2 months,No open-source contribution,No achievements
Kimberly Hall,Information Technology,"['embedded systems', 'cryptography', 'human-computer interaction']",['game development'],"['JavaScript', 'Kotlin', 'Rust']",['Laravel'],"['PyTorch', 'AWS']","['Google Cloud', 'TensorFlow', 'Ansible', 'MySQL']",2 months,No open-source contribution,No achievements
Paul Nixon,Mechanical Engineering,"['data visualization', 'system architecture']","['game development', 'human-computer interaction', 'web and mobile development']","['Go', 'C#', 'Lua', 'Ruby', 'TypeScript']","['Ember.js', 'Express.js', 'Vue.js', 'Angular']","['Git', 'Redis', 'TensorFlow']","['Google Cloud', 'MongoDB', 'Redis', 'PostgreSQL']",1 week,Contributed to XYZ project,No achievements
Keith Mcknight,Electrical Engineering,"['computer vision', 'computational theory']",['IoT'],"['SQL', 'PHP', 'Lua', 'Go']","['Ruby on Rails', 'Svelte']","['Elasticsearch', 'PostgreSQL', 'AWS']",['Ansible'],1 month,No open-source contribution,Awarded XYZ in Electrical Engineering
Julie Gibson,Civil Engineering,"['machine learning', 'human-computer interaction', 'web app development']",['data science and analytics'],"['TypeScript', 'Scala']","['Angular', 'Ionic', 'Ruby on Rails']",['GitHub'],['Azure'],1 week,Contributed to XYZ project,No achievements
Brandon Cervantes,Mechanical Engineering,"['computational biology', 'data visualization', 'data science']","['game development', 'web and mobile development', 'robotics']","['R', 'C++', 'Kotlin', 'Python', 'PHP']","['React', 'Flask']",['Google Cloud'],"['AWS', 'TensorFlow', 'GitLab']",2 months,Contributed to XYZ project,No achievements
Erica Clark,Computer Science,['reinforcement learning'],"['cybersecurity', 'robotics']","['R', 'Dart', 'Scala']",['Next.js'],"['Ansible', 'MySQL', 'PostgreSQL', 'Azure']","['Kubernetes', 'GitLab', 'MongoDB', 'Ansible']",1 week,No open-source contribution,No achievements
Amy Sanders,Civil Engineering,"['cryptography', 'IoT', 'natural language processing']","['quantum computing', 'web and mobile development']","['TypeScript', 'Lua', 'Kotlin']",['NestJS'],['Redis'],"['Docker', 'TensorFlow', 'Elasticsearch', 'Kubernetes']",2 months,Contributed to XYZ project,No achievements
Sherri Marshall,Mechanical Engineering,['data visualization'],"['web and mobile development', 'IoT']",['Scala'],"['Ruby on Rails', 'Nuxt.js', 'Ember.js', 'Svelte']","['Azure', 'Ansible']",['Google Cloud'],1 week,No open-source contribution,No achievements
Amanda Nguyen,Civil Engineering,['computer architecture'],"['quantum computing', 'IoT', 'human-computer interaction']","['MATLAB', 'R', 'C', 'C#', 'Rust']","['Ionic', 'Ember.js', 'Ruby on Rails']","['Kubernetes', 'Ansible']","['Google Cloud', 'Ansible', 'TensorFlow', 'AWS']",1 month,No open-source contribution,No achievements
Kaylee Ware,Information Technology,"['natural language processing', 'artificial intelligence']","['data science and analytics', 'human-computer interaction', 'cybersecurity']",['Python'],"['Django', 'NestJS', 'Meteor', 'Next.js']",['Azure'],['MongoDB'],1 week,Contributed to XYZ project,No achievements
Kendra Bautista,Civil Engineering,"['cryptography', 'mobile app development']","['IoT', 'quantum computing', 'game development']","['TypeScript', 'Lua']",['Svelte'],['AWS'],"['GitHub', 'PyTorch', 'Kubernetes']",2 months,Contributed to XYZ project,Awarded XYZ in Civil Engineering
Robert Johnson MD,Civil Engineering,"['distributed systems', 'data science']","['artificial intelligence and machine learning', 'game development']",['Shell Scripting'],['Flutter'],['Azure'],"['GitLab', 'PostgreSQL', 'Git']",2 months,Contributed to XYZ project,No achievements
Daniel Rogers,Electronics and Communication,"['digital signal processing', 'bioinformatics', 'data engineering']",['bioinformatics'],"['Objective-C', 'C++', 'SQL', 'C#', 'Scala']","['Angular', 'Svelte', 'Nuxt.js', 'React']","['AWS', 'Google Cloud', 'GitHub', 'PostgreSQL']","['Kubernetes', 'MySQL', 'PostgreSQL', 'Redis']",1 month,Contributed to XYZ project,No achievements
Glenn Kim,Mechanical Engineering,['data engineering'],"['data science and analytics', 'bioinformatics']","['Python', 'C#', 'Go', 'R', 'Lua']",['Spring Boot'],"['AWS', 'Azure', 'Jenkins']","['MongoDB', 'Redis', 'GitHub']",1 month,Contributed to XYZ project,Awarded XYZ in Mechanical Engineering
Nichole Murray,Mechanical Engineering,['business intelligence'],['IoT'],"['Python', 'Go', 'Kotlin', 'JavaScript', 'Ruby']",['Meteor'],"['TensorFlow', 'Azure', 'MongoDB', 'Jenkins']",['GitHub'],1 week,No open-source contribution,Awarded XYZ in Mechanical Engineering
Sarah Rice,Electronics and Communication,['ethical hacking'],"['human-computer interaction', 'game development', 'bioinformatics']","['SQL', 'JavaScript', 'Scala', 'Dart', 'Objective-C']",['Angular'],['MySQL'],"['Redis', 'TensorFlow', 'GitHub']",2 months,Contributed to XYZ project,No achievements
Lisa Larson,Computer Science,"['AR/VR', 'blockchain', 'cryptography']","['data science and analytics', 'quantum computing']","['PHP', 'TypeScript']","['Flask', 'Flutter', 'Spring Boot', 'Angular']","['GitHub', 'Kubernetes', 'Git']","['Google Cloud', 'AWS']",2 months,Contributed to XYZ project,Awarded XYZ in Computer Science
Neil Holland,Mechanical Engineering,"['big data', 'data engineering', 'digital signal processing']","['cybersecurity', 'quantum computing']","['C++', 'R', 'Python']","['Flask', 'Ionic']","['MySQL', 'Jenkins', 'Keras']","['Kubernetes', 'PyTorch']",1 week,Contributed to XYZ project,No achievements
Bonnie Williams,Biotechnology,"['human-computer interaction', 'reinforcement learning']","['bioinformatics', 'quantum computing', 'data science and analytics']",['R'],['Spring Boot'],"['Git', 'Jenkins', 'Elasticsearch', 'TensorFlow']",['Docker'],1 week,Contributed to XYZ project,No achievements
Nathaniel Meyer,Information Technology,"['embedded systems', 'machine learning', 'system architecture']","['cybersecurity', 'web and mobile development', 'blockchain']","['Objective-C', 'Ruby', 'C++']","['Meteor', 'Ruby on Rails']",['TensorFlow'],"['Elasticsearch', 'AWS', 'Keras']",1 week,Contributed to XYZ project,No achievements
Angela George,Information Technology,"['deep learning', 'network engineering']","['IoT', 'artificial intelligence and machine learning']","['Objective-C', 'Dart', 'Rust']","['Laravel', 'Django', 'Ionic']","['MySQL', 'PostgreSQL', 'TensorFlow', 'Jenkins']","['Redis', 'Google Cloud']",1 month,Contributed to XYZ project,No achievements
Nicole Jenkins,Civil Engineering,"['embedded systems', 'ethical hacking']",['game development'],"['TypeScript', 'Rust', 'Scala', 'Dart']","['Meteor', 'Django', 'NestJS', 'React Native']","['GitLab', 'Docker', 'Google Cloud', 'Azure']","['Elasticsearch', 'MongoDB']",2 months,Contributed to XYZ project,No achievements
Marissa Garcia,Information Technology,['DevOps'],"['cybersecurity', 'artificial intelligence and machine learning', 'bioinformatics']","['Shell Scripting', 'C', 'Swift', 'JavaScript', 'Objective-C']","['React Native', 'Blitz.js']","['MySQL', 'Redis', 'PyTorch']","['Jenkins', 'Google Cloud']",2 months,Contributed to XYZ project,Awarded XYZ in Information Technology
